Sample ID,Sequence Round,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Region:Site
Coiba_910,1,910,AP3XF46,USNM 1666023,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_914,1,914,AP3XF63,USNM 1666059,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,Chiriqui:Uvas
Coiba_915,1,915,AP3XF66,USNM 1666037,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,Chiriqui:Uvas
Coiba_917,1,917,AP3XF64,USNM 1666049,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,Chiriqui:Uvas
Coiba_918,1,918,AP3XF74,USNM 1666053,Panama,Chiriqui,Uva Channel,11/30/21,7.861944,-81.78083,Chiriqui:Uva Channel
Coiba_919,1,919,AP3XF76,USNM 1666027,Panama,Chiriqui,Uva Channel,11/30/21,7.861944,-81.78083,Chiriqui:Uva Channel
Coiba_920,1,920,AP3XF71,USNM 1666031,Panama,Chiriqui,Uva Channel,11/30/21,7.861944,-81.78083,Chiriqui:Uva Channel
Coiba_922,1,922,AP3XF60,USNM 1666022,Panama,Chiriqui,Canales,11/29/21,7.695942,-81.632929,Chiriqui:Canales
Coiba_925,1,925,AP3XF61,USNM 1666058,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,Chiriqui:Uvas
Coiba_927,1,927,AP3XF48,USNM 1666047,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_928,1,928,AP3XF50,USNM 1666029,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_929,1,929,AP3XF38,USNM 1666050,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_930,1,930,AP3XF44,USNM 1666054,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
PAN_05,1,NA,NA,NA,Panama,Panama,Saboga,NA,8.62807,-79.05462,Panama:Saboga
PAN_10,1,NA,NA,NA,Panama,Panama,Saboga,NA,8.62807,-79.05462,Panama:Saboga
PAN_32,1,NA,NA,NA,Panama,Chiriqui,Uvas,NA,7.815128015,-81.75892202,Chiriqui:Uvas
PAN_34,1,NA,NA,NA,Panama,Chiriqui,Uvas,NA,7.815128015,-81.75892202,Chiriqui:Uvas
PAN_35,1,NA,NA,NA,Panama,Chiriqui,Uvas,NA,7.815128015,-81.75892202,Chiriqui:Uvas
PAN_37,1,NA,NA,NA,Panama,Panama,Saboga,NA,8.62807,-79.05462,Panama:Saboga
PAN_39,1,NA,NA,NA,Panama,Panama,Saboga,NA,8.62807,-79.05462,Panama:Saboga
PAN_41,1,NA,NA,NA,Panama,Panama,Saboga,NA,8.62807,-79.05462,Panama:Saboga
PAN_43,1,NA,NA,NA,Panama,Panama,Saboga,NA,8.62807,-79.05462,Panama:Saboga
PAN_44,1,NA,NA,NA,Panama,Panama,Saboga,NA,8.62807,-79.05462,Panama:Saboga
PAN_78,1,NA,NA,NA,Panama,Chiriqui,Uvas,NA,7.815128015,-81.75892202,Chiriqui:Uvas
PAN_79,1,NA,NA,NA,Panama,Chiriqui,Uvas,NA,7.815128015,-81.75892202,Chiriqui:Uvas
PAN_83,1,NA,NA,NA,Panama,Chiriqui,Uvas,NA,7.815128015,-81.75892202,Chiriqui:Uvas
Perlas_333,1,333,AP3XG24,USNM 1666067,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_335,1,335,AP3XG26,USNM 1666098,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_337,1,337,AP3XG28,USNM 1666061,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_339,1,339,AP3XG30,USNM 1666070,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_340,1,340,AP3XG31,USNM 1666062,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_341,1,341,AP3XG32,USNM 1666071,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_343,1,343,AP3XG34,USNM 1666072,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_344,1,344,AP3XG35,USNM 1666073,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_346,1,346,AP3XG37,USNM 1666074,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_350,1,350,AP3XG41,USNM 1666069,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,Panama:Contadora
Perlas_351,1,351,AP3XG42,USNM 1666076,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_352,1,352,AP3XG43,USNM 1666077,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_353,1,353,AP3XG44,USNM 1666078,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_354,1,354,AP3XG45,USNM 1666079,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_355,1,355,AP3XG46,USNM 1666080,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_356,1,356,AP3XG47,USNM 1666081,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_357,1,357,AP3XG48,USNM 1666082,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_358,1,358,AP3XG49,NA,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_359,1,359,AP3XG50,USNM 1666083,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_360,1,360,AP3XG51,USNM 1666084,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_361,1,361,AP3XG52,USNM 1666085,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_362,1,362,AP3XG53,USNM 1666086,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
