Sample ID,Genotype ID,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Set,STRI,RSMAS,ANALYSIS,TECHNICAL_REPLICATE,SINGLE_GENOTYPE,CLONAL_GENOTYPE,NOCLONES_SAMPLE,Region:Site,haplotype,mtorf_type,Species
Coco_667_AP3XG11,,667,AP3XG11,NA,Costa Rica,Coco,Weston shallow,5/29/21,5.55239,-87.05061,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Weston shallow,IV,Type 1a,P. grandis
Coco_668_AP3XG12,,668,AP3XG12,NA,Costa Rica,Coco,Weston shallow,5/29/21,5.55239,-87.05061,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Weston shallow,IV,Type 1a,P. grandis
Coiba_679_AP3XF55,Coiba_B,679,AP3XF55,USNM 1666042,Panama,Chiriqui,Canales,11/29/21,7.695942,-81.632929,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Chiriqui:Canales,IV,Type 1a,P. grandis
Coiba_684_AP3XF75,,684,AP3XF75,USNM 1666036,Panama,Chiriqui,Uva Channel,11/30/21,7.861944,-81.78083,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uva Channel,IV,Type 1a,P. grandis
Coiba_685_AP3XF43,,685,AP3XF43,USNM 1666046,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Wahoo,IV,Type 1a,P. grandis
Coiba_686_AP3XF47,,686,AP3XF47,USNM 1666048,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Wahoo,IV,Type 1a,P. grandis
Coiba_688_AP3XF58,,688,AP3XF58,USNM 1666052,Panama,Chiriqui,Canales,11/29/21,7.695942,-81.632929,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Canales,IV,Type 1a,P. grandis
Coiba_691_AP3XF49,,691,AP3XF49,USNM 1666055,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Wahoo,IV,Type 1a,P. grandis
Coiba_692_AP3XF70,Coiba_D,692,AP3XF70,USNM 1666030,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Chiriqui:Uvas,I,Type 3a,P. verrucosa 3a
Coiba_693_AP3XF45,,693,AP3XF45,USNM 1666026,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Wahoo,NA,Type 1a,P. grandis
